"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 03 12:49:20 IST 2025","Wed Dec 03 12:50:05 IST 2025","44802","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkAmenityFilterOnMap_4376Test","checkAmenityFilterOnMap_4376Test",""
"failed","Wed Dec 03 13:08:19 IST 2025","Wed Dec 03 13:09:16 IST 2025","56907","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkCornerValue_PropDetailsPg_8182Test","checkCornerValue_PropDetailsPg_8182Test",""
"skipped","Wed Dec 03 13:44:30 IST 2025","Wed Dec 03 13:44:30 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","VerifyValueRecordTypeColumnInBlueColor_Value_PropertyTransactionsTable_TC9595","VerifyValueRecordTypeColumnInBlueColor_Value_PropertyTransactionsTable_TC9595",""
"skipped","Wed Dec 03 13:39:20 IST 2025","Wed Dec 03 13:39:20 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyDownloadMessage_UnitTransactionsTable_TC6679","verifyDownloadMessage_UnitTransactionsTable_TC6679",""
"skipped","Wed Dec 03 13:36:23 IST 2025","Wed Dec 03 13:36:23 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyShowOnMapLabelAppearsOnHover_PropertyTransactionsTable_TC_","verifyShowOnMapLabelAppearsOnHover_PropertyTransactionsTable_TC_",""
"passed","Wed Dec 03 12:36:52 IST 2025","Wed Dec 03 12:37:16 IST 2025","23895","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","defaultDistanceForAmenity_6016Test","defaultDistanceForAmenity_6016Test",""
"skipped","Wed Dec 03 13:33:49 IST 2025","Wed Dec 03 13:33:49 IST 2025","1","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyAdjustedByEstaterTeamText_PropertyTransactions_TC6407","verifyAdjustedByEstaterTeamText_PropertyTransactions_TC6407",""
"passed","Wed Dec 03 13:48:43 IST 2025","Wed Dec 03 13:49:18 IST 2025","34831","Retail sector failed test cases Suite","Test","markets.OfficeSectorTest","markets.OfficeSectorTest","checkAsOfNowCurrentDateOverviewArabic_7489_7491_7492Test","checkAsOfNowCurrentDateOverviewArabic_7489_7491_7492Test",""
"passed","Wed Dec 03 13:54:02 IST 2025","Wed Dec 03 13:54:35 IST 2025","32950","Retail sector failed test cases Suite","Test","markets.OfficeSectorTest","markets.OfficeSectorTest","checkGraphHeadingGrossOfficeSpaceGradeWiseSqmArabic_7498Test","checkGraphHeadingGrossOfficeSpaceGradeWiseSqmArabic_7498Test",""
"broken","Wed Dec 03 13:04:07 IST 2025","Wed Dec 03 13:04:39 IST 2025","32434","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checCornerBoxArabic_8180Test","checCornerBoxArabic_8180Test",""
"skipped","Wed Dec 03 13:36:10 IST 2025","Wed Dec 03 13:36:10 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifySaveLabelOnHover_TC6669","verifySaveLabelOnHover_TC6669",""
"passed","Wed Dec 03 11:29:29 IST 2025","Wed Dec 03 11:30:52 IST 2025","83177","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkHyphenInRentUnitSizeWiseBasic_7395Test","checkHyphenInRentUnitSizeWiseBasic_7395Test",""
"passed","Wed Dec 03 14:00:02 IST 2025","Wed Dec 03 14:00:12 IST 2025","10074","Retail sector failed test cases Suite","Test","markets.SignUpPageTest","markets.SignUpPageTest","verifySignPageContentsMKT_I239","verifySignPageContentsMKT_I239",""
"skipped","Wed Dec 03 13:40:36 IST 2025","Wed Dec 03 13:40:36 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyPaginationByInput_PropertyTransactionTable_TC7252","verifyPaginationByInput_PropertyTransactionTable_TC7252",""
"broken","Wed Dec 03 12:29:07 IST 2025","Wed Dec 03 12:29:40 IST 2025","32846","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkPartiallyMapAndReportViewOfPropDetailsPage_4323Test","checkPartiallyMapAndReportViewOfPropDetailsPage_4323Test",""
"broken","Wed Dec 03 11:27:01 IST 2025","Wed Dec 03 11:27:43 IST 2025","42444","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkHiperlinkedAndColourRentMallWise_7656Test","checkHiperlinkedAndColourRentMallWise_7656Test",""
"skipped","Wed Dec 03 13:35:04 IST 2025","Wed Dec 03 13:35:04 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyTrailing12MonthText_AvgPropertiesTransactionRateBox_TC6462","verifyTrailing12MonthText_AvgPropertiesTransactionRateBox_TC6462",""
"skipped","Wed Dec 03 13:56:49 IST 2025","Wed Dec 03 13:56:49 IST 2025","0","Retail sector failed test cases Suite","Test","markets.OfficeSectorTest","markets.OfficeSectorTest","checkStaticOverviewWithDateFilterOfficeInventoryV2_7484_7487_7495Test","checkStaticOverviewWithDateFilterOfficeInventoryV2_7484_7487_7495Test",""
