"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Dec 04 14:22:41 IST 2025","Thu Dec 04 14:22:41 IST 2025","1","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkExpendedDataInDepartmentsTable_7454Test","checkExpendedDataInDepartmentsTable_7454Test",""
"broken","Thu Dec 04 14:39:27 IST 2025","Thu Dec 04 14:40:51 IST 2025","84354","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkAmenityRadiusOptions_6023Test","checkAmenityRadiusOptions_6023Test",""
"broken","Thu Dec 04 15:28:36 IST 2025","Thu Dec 04 15:30:14 IST 2025","97176","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","transactionClustersOnMapBasic_6021Test","transactionClustersOnMapBasic_6021Test",""
"broken","Thu Dec 04 15:55:28 IST 2025","Thu Dec 04 15:57:37 IST 2025","128720","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkAddressPropertyDetailsPage_3868Test","checkAddressPropertyDetailsPage_3868Test",""
"broken","Thu Dec 04 19:20:02 IST 2025","Thu Dec 04 19:20:54 IST 2025","52254","Retail sector failed test cases Suite","Test","markets.CitySelectionPageTest","markets.CitySelectionPageTest","defaultCitySelection_MKT_I241","defaultCitySelection_MKT_I241",""
"skipped","Thu Dec 04 14:26:15 IST 2025","Thu Dec 04 14:26:15 IST 2025","1","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkShowONMapToolTipRentMallWise_7651Test","checkShowONMapToolTipRentMallWise_7651Test",""
"broken","Thu Dec 04 16:44:37 IST 2025","Thu Dec 04 16:44:37 IST 2025","0","Retail sector failed test cases Suite","Test","markets.OfficeSectorTest","markets.OfficeSectorTest","bmConfig","bmConfig",""
"skipped","Thu Dec 04 17:58:53 IST 2025","Thu Dec 04 17:58:53 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyTotalWarehousesForPreviousYear_TC8188","verifyTotalWarehousesForPreviousYear_TC8188",""
"skipped","Thu Dec 04 14:26:51 IST 2025","Thu Dec 04 14:26:51 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkShowRestultsDDOptionsTenants_7460Test","checkShowRestultsDDOptionsTenants_7460Test",""
"skipped","Thu Dec 04 19:34:24 IST 2025","Thu Dec 04 19:34:24 IST 2025","0","Retail sector failed test cases Suite","Test","markets.NotificationTest","markets.NotificationTest","selectMarketsNewsAndVerifyMKT_244","selectMarketsNewsAndVerifyMKT_244",""
"skipped","Thu Dec 04 17:54:09 IST 2025","Thu Dec 04 17:54:09 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyPropertyNameUnderlineIsBlue_Arabic_PropertiesTable_TC9292","verifyPropertyNameUnderlineIsBlue_Arabic_PropertiesTable_TC9292",""
"skipped","Thu Dec 04 17:56:17 IST 2025","Thu Dec 04 17:56:17 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyTop5NeighborhoodsBoxForPreviousYear_TC10534","verifyTop5NeighborhoodsBoxForPreviousYear_TC10534",""
"broken","Thu Dec 04 17:00:07 IST 2025","Thu Dec 04 17:00:53 IST 2025","45547","Retail sector failed test cases Suite","Test","markets.ForgotPasswordPageTest","markets.ForgotPasswordPageTest","verifyTextsInForgotPasswordPageMKT_I72","verifyTextsInForgotPasswordPageMKT_I72",""
"passed","Thu Dec 04 15:00:01 IST 2025","Thu Dec 04 15:00:53 IST 2025","52107","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkIconForAmenityFilterOnMap_4373Test","checkIconForAmenityFilterOnMap_4373Test",""
"broken","Thu Dec 04 15:09:52 IST 2025","Thu Dec 04 15:11:08 IST 2025","76474","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkTruncatedText3dotsGlobalSearchArabic_3566Test","checkTruncatedText3dotsGlobalSearchArabic_3566Test",""
"skipped","Thu Dec 04 16:05:12 IST 2025","Thu Dec 04 16:05:12 IST 2025","0","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","validatePropertyNameInPropertyDetailsPage_8155Test","validatePropertyNameInPropertyDetailsPage_8155Test",""
"skipped","Thu Dec 04 14:22:59 IST 2025","Thu Dec 04 14:22:59 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkExpendedDataInRentUnitSizeWiseTableTextPart2_7014Test","checkExpendedDataInRentUnitSizeWiseTableTextPart2_7014Test",""
"passed","Thu Dec 04 16:16:30 IST 2025","Thu Dec 04 16:16:56 IST 2025","25467","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyAdjustedByEstaterTeamText_UnitTransactions_TC6411","verifyAdjustedByEstaterTeamText_UnitTransactions_TC6411",""
"broken","Thu Dec 04 15:11:18 IST 2025","Thu Dec 04 15:12:31 IST 2025","73611","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkUnitTransactionsOnMapBasic_6027Test","checkUnitTransactionsOnMapBasic_6027Test",""
"skipped","Thu Dec 04 16:21:04 IST 2025","Thu Dec 04 16:21:04 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyReportViewLabelAppearsOnHover_TC6671","verifyReportViewLabelAppearsOnHover_TC6671",""
"skipped","Thu Dec 04 14:28:50 IST 2025","Thu Dec 04 14:28:50 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","varifyDepartmentsTableCount_7435Test","varifyDepartmentsTableCount_7435Test",""
"skipped","Thu Dec 04 16:03:18 IST 2025","Thu Dec 04 16:03:18 IST 2025","1","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkNullPropertyName_PropertyDetailsPage_8353Test","checkNullPropertyName_PropertyDetailsPage_8353Test",""
"skipped","Thu Dec 04 18:03:00 IST 2025","Thu Dec 04 18:03:00 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyPreviousPageLabelAppearsOnHover_PropertiesTable_TC8955","verifyPreviousPageLabelAppearsOnHover_PropertiesTable_TC8955",""
"broken","Thu Dec 04 14:50:55 IST 2025","Thu Dec 04 14:52:08 IST 2025","72913","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkFirstSectionLegend_ClusterInfoBasic_6012Test","checkFirstSectionLegend_ClusterInfoBasic_6012Test",""
"skipped","Thu Dec 04 18:00:29 IST 2025","Thu Dec 04 18:00:29 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyName_2ndGraph_TC8521","verifyName_2ndGraph_TC8521",""
"passed","Thu Dec 04 17:41:07 IST 2025","Thu Dec 04 17:41:31 IST 2025","24888","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyGradeOrder_WarehouseRental_TC9689","verifyGradeOrder_WarehouseRental_TC9689",""
"skipped","Thu Dec 04 16:45:28 IST 2025","Thu Dec 04 16:45:28 IST 2025","0","Retail sector failed test cases Suite","Test","markets.OfficeSectorTest","markets.OfficeSectorTest","checkTableColumnsSameAsDownloadedExcel_7531_7533Test","checkTableColumnsSameAsDownloadedExcel_7531_7533Test",""
"skipped","Thu Dec 04 14:25:58 IST 2025","Thu Dec 04 14:25:58 IST 2025","1","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkRetailInventoryReportDisplayed_3839Test","checkRetailInventoryReportDisplayed_3839Test",""
"skipped","Thu Dec 04 14:27:07 IST 2025","Thu Dec 04 14:27:07 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkShowResultsInDDRentUnitSizeWise_6945Test","checkShowResultsInDDRentUnitSizeWise_6945Test",""
